iter	Passed	Remaining
0	1	136
1	2	117
2	3	114
3	4	103
4	5	101
5	6	98
6	7	97
7	8	97
8	9	97
9	10	96
10	11	95
11	13	95
12	14	94
13	15	92
14	16	91
15	17	89
16	18	87
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	83
23	26	82
24	27	81
25	28	80
26	29	78
27	30	77
28	31	76
29	32	74
30	33	73
31	34	72
32	35	71
33	36	70
34	37	68
35	38	68
36	39	66
37	40	66
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	46	58
44	47	57
45	48	56
46	49	55
47	50	54
48	51	53
49	52	52
50	53	51
51	54	50
52	55	49
53	56	47
54	56	46
55	57	45
56	59	44
57	59	43
58	60	42
59	61	41
60	63	40
61	64	39
62	65	38
63	66	37
64	67	36
65	68	35
66	69	34
67	70	33
68	71	32
69	72	31
70	73	30
71	74	28
72	75	27
73	76	26
74	77	25
75	78	24
76	79	23
77	80	22
78	82	21
79	83	20
80	84	19
81	85	18
82	86	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	93	10
90	94	9
91	95	8
92	96	7
93	97	6
94	98	5
95	99	4
96	100	3
97	101	2
98	102	1
99	103	0
